Name,Description
Espresso Logic Live,Live API creates a REST JSON API to your database tables  views and stored procedures  It allows users to extend the API with complex REST endpoints which include no compile business rules  security  filtering  pagination  optimistic locking  service integration  and more  The API provides integration with SQL and No SQL databases  enterprise systems and REST SOAP services 
Fabman REST API v1,The Fabman API returns shared space data for hardware projects  makers  and doers  Developers receive JSON responses when they make calls  Authentication is required with an API Key  Fabman is a  Fabulous Shared Space Management  platform 
Google+ JavaScript FEED API,The Google  Java Script API provides methods and classes for working with the Google  plugins  Google  Sign In button and the HTTP APIs  The full Google Java Script Client Library reference contains additional methods and classes  Google Developers provides APIs  software development tools  and technical resources that allow communication with Google Services and their integration to other services  Google is a technology company that specializes in Internet related services and products that includes online advertising technologies  search  cloud computing  software  and hardware 
Kosmos eSync Connect REST API v1.1,The Kosmos e Sync Connect API allows developers to access and integrate the functionality of Kosmos with other applications  Public documentation is not available  API access comes with account service  Kosmos e Sync Connect is a cloud to cloud integration platform 
PeopleKeys REST API v3.0,The People Keys API supports the integration of the requisite functional features for profiling the personality traits of individuals  The API s provider  People Keys  is a leading vendor of solutions for analyzing peoples  behavioral patterns on the basis of the DISC  Drive  Influence  Steadiness  and Compliance  theory  Developers can use the RESTful API to access  integrate and manipulate a wide range of the profiling features associated of the DISC platform  The current version of the API  v 3 0  is a beta release that is designed to provide accessibility to the vendor s proprietary DISC 24 test 
AlchemyAPI Keyword Extraction,Alchemy API Keyword Extraction API extracts topic keywords from text  HTML  or posted web based content  This API normalizes the targeted text  removing ads  navigation links  and other unnecessary content  then extracts topic keywords  Alchemy API Keyword Extraction API supports several languages making foreign language topic keyword extractions and categorizing possible  Requests are in JSON and responses are in JSON  RDF  or XML  Authentication is through unique and private API Key  Alchemy API is a data mining platform  It provides a set of semantic analysis capabilities in the natural language processing field  Customers are able to perform social media monitoring  target advertisements  track sentiment in media  automate content aggregation and recommendation 
Apteligent,Apteligent is a mobile intelligence platform designed to troubleshoot  prioritize  and resolve issues related to user experience  The Apteligent API is a REST interface that exposes resources associated with error monitoring  app operations  performance management  transactions  and benchmarks  Data is offered in JSON format  Developers need to implement OAuth 2 0 in order to send requests from their applications 
Blueliv,The Blueliv API can be used as an integration of Cyber Threat Intelligence features into applications and services  Main components of the REST API that can be accessed with Token  include predictive search engines  threat prevention  and real time information  Blueliv provides cyber threat information solutions and analysis intelligence for enterprises  service providers  and security vendors 
Contify REST API v2,The Contify REST API allows developers to access and integrate the functionality of Contify with other applications  Some example API methods include searching for companies  retrieving insights of a company  searching for people  and retrieving a list of triggers  Contify Market Intelligence APIs are a customizable solution for companies to integrate human  curated market intelligence into their internal and customer facing applications  Contify is a market intelligence platform that allows users to search for and access information  data  and insights about organizations 
Dark Gray Engines Address Intelligence,The Address Intelligence API offers detailed address information  The API can be used to verify an address  verify deliverability for shipping  and identify commercial and residential addresses  JSON is the preferred response format  Dark Gray Engines offers user intelligence tools and data mining services  Organizations can benefit from user behavior analysis with advanced machine learning  predictions  credit card fraud detection  address verification  proxy detection  language prediction  and sentiment analysis 
Dark Gray Engines Credit Card Fraud Risk,The Credit Card Fraud Risk API calculates risk scores based on a credit card transaction  Several sources are used to determine said risk scores including location  address verification  high risk countries  and domain age  JSON is the preferred response format  Dark Gray Engines offers user intelligence tools and data mining services  Organizations can benefit from user behavior analysis with advanced machine learning  predictions  credit card fraud detection  address verification  proxy detection  language prediction  and sentiment analysis 
Dark Gray Engines Disposable E-Mail,The Disposable E Mail API determines if an email address is related to a known disposable email provider  The engine tracks more than 3 600 disposable email providers  JSON is the preferred response format  Dark Gray Engines offers user intelligence tools and data mining services  Organizations can benefit from user behavior analysis with advanced machine learning  predictions  credit card fraud detection  address verification  proxy detection  language prediction  and sentiment analysis 
Dark Gray Engines Geolocation,The Geolocation API offers location data determined by the user s IP address  The API can be used to provide location based content such as language and currency  JSON is the preferred response format  Dark Gray Engines offers user intelligence tools and data mining services  Organizations can benefit from user behavior analysis with advanced machine learning  predictions  credit card fraud detection  address verification  proxy detection  language prediction  and sentiment analysis 
Dark Gray Engines IP Reputation,The IP Reputation API offers information about an IP address related to blacklists  virus and malware reports  and other sources of relevant security data to determine if a site is considered trustworthy  JSON is the preferred response format  Dark Gray Engines offers user intelligence tools and data mining services  Organizations can benefit from user behavior analysis with advanced machine learning  predictions  credit card fraud detection  address verification  proxy detection  language prediction  and sentiment analysis 
Dark Gray Engines Line Intelligence,The Line Intelligence API allows developers to retrieve information about a user s phone number such as country code  carrier or line type  This can be used to validate a phone number registration or purchase  JSON is the preferred response format  Dark Gray Engines offers user intelligence tools and data mining services  Organizations can benefit from user behavior analysis with advanced machine learning  predictions  credit card fraud detection  address verification  proxy detection  language prediction  sentiment analysis  and geolocation 
Dark Gray Engines OTP SMS Verification,The One Time Password  OTP  Simple Message Service  SMS  Verification API determines the ownership of a mobile device  Users provide the API with a phone number  the engine generates a 6 digit one time password for verification  JSON is the preferred response format  Dark Gray Engines offers user intelligence tools and data mining services  Organizations can benefit from user behavior analysis with advanced machine learning  predictions  credit card fraud detection  address verification  proxy detection  language prediction  and sentiment analysis 
Dark Gray Engines Proxy Detection,The Proxy Detection API determines if an IP address is behind a proxy or TOR service  JSON is the preferred response format  Dark Gray Engines offers user intelligence tools and data mining services  Organizations can benefit from user behavior analysis with advanced machine learning  predictions  credit card fraud detection  address verification  proxy detection  language prediction  and sentiment analysis 
Dark Gray Engines Whois,The Whois API provides ownership and registrant information for a given IP address  This functionality can be paired with the Geolocation API to match the IP address with the physical registrant details  JSON is the preferred response format  Dark Gray Engines offers user intelligence tools and data mining services  Organizations can benefit from user behavior analysis with advanced machine learning  predictions  credit card fraud detection  address verification  proxy detection  language prediction  and sentiment analysis 
Datarella,Datarella is a big data collection company based in Germany  Their  Explore  app accesses sensors in smartphones and wearable devices to record data like location  environment  and personal behavior  This data is then aggregated and issued in a way that respects user privacy to Datarella partners to help increase their customer data portfolio  The Datarella API provides a way that users may access these data sets to consume real time analytics from Explore app users  In addition to OAuth  the API accepts a user s Explore App login email and password for authentication 
Flashpoint REST API v4.0,The Flashpoint API provides near real time access to Flashpoint s Finished Intelligence  normalized data from Deep   Dark Web  DDW  threat actor communities  and Risk Intelligence Observables  RIOs   This allows you to enrich and enhance your internal data with our targeted data acquired from highly curated sources The Flashpoint API empowers experienced and entry level users alike with the context they need to make make better risk decisions about threats relevant to them  including cybercrime  fraudulent activities  physical and cyber threats The API s documentation is not publicly available 
Idilia Language Graph,Idilia Language Graph API works as a knowledge base with 100 million facts expressed as relationships and annotations  Linguistic algorithms use the Language Graph to predict language sentiment  The API is used to obtain word classification information and discover the sense inventory words  expressions  and named entities  See how the language graph works at com demos language graph browser 
Idilia Query Rewriting,Idilia Query Rewriting API provides paraphrases from an Internet search query using machine learning patterns  Available in formats XML  JSON  and REST  Idilia Query Rewriting analyzes the semantic relationships from the Language Graph  Developers can authenticate with an API Key  See demo at com demos query rewriting 
Idilia Semantic Matching,Idilia Semantic Matching API available in XML  JSON  and REST protocols  determines sense analysis in a document  Use of the API includes social media monitoring  search precision  and profanity filtering  A parameter can be added for additional semantic analysis  Visit the Twitter demo site at com demos twitter filtering 
InsideView,Inside View is a CRM intelligence service that offers complete  accurate customer information to help increase sales and marketing productivity  It helps users clean and segment their marketing databases with complete company and contact information  Inside View also helps prioritize sales opportunities so that users can focus on the ones with the best chances of closing  The Inside View API enables users to access the platform s functions programmatically and integrate them into their own applications 
Lexigram REST API v1,The Lexigram API supports JSON format after making GET requests and authenticating with API Key  It returns medical terminology data with a demo available at 
Orbit,The Orbit API integrates artificial intelligence features into data applications  Orbit provides a natural language processing platform for with API methods for language processing  entity extraction  classification  and sentiment analysis  With the API  users can detect languages  identify people or places in typed text  analyze for positive or negative sentiment  and categorize text according to IPTC News Code standards 
Ryft,Ryft provides big data analytics solutions  The Ryft API is available as a free trial for data analysis and real time intelligence purposes at 
Symantec DeepSight Intelligence REST API v1.2,The Deep Sight Intelligence API with a RESTful interface  provides cyber intelligence access sourced from the largest civiliian threat collection network  Content include both technical intelligence such as vulnerabilities  malicious IP URLs hashes and adversary intelligence including actors groups  campaigns  TTPs  and indicators  Contact Symantec for full API access at version
ThreatConnect REST API v2,The Threat Connect API integrates intelligent analytics to detect threats  It is available in REST architecture with HTTP requests and JSON formats  It is accessible through format HTTP header  With the API  developers can implement cyber defense measures 
Unplugg Streaming API,The Unplugg API provides forecasting for energy consumption  temperature  and other timeseries data from energy products  The API returns predictive JSON payloads for timeseries as webhooks based on historical data  Developers will need to obtain an API Key  and request access to documentation  Unplugg is a software development firm based in Portugal 
Wapack Labs Cyberwatch,The Wapack Labs Cyberwatch API integrates domain search into applications  It aims to be useful for security purposes  monitoring web activity  Available in JSON and CSV formats with API Key  Wapack Labs provides cyberthreat security services 
eBay Sell Inventory REST API v1,The e Bay Sell Inventory API is used to create and manage inventory item records and then convert them to product offers on e Bay marketplaces  It can be used to create and manage inventory locations  create and manage inventory item records  create offers  and publish and manage offers  This API only supports Good  Til Cancelled  GTC  fixed price listings  It does not support auction listings or variable listing durations 
Fulfil.IO REST API v1,The Fulfil IO REST API adds inventory management  catalog management  and reporting capabilities to retail systems  The API features omni channel order management for order aggregation  inventory and warehouse management  purchase management  drop shipping  point of sale support  and book keeping  Fulfil IO is a cloud based platform headquartered in California 
Megaventory RPC API,Megaventory is a web based inventory  order management  and reporting solution for small and medium businesses with multiple points of presence The SOAP API gives developers access to resources such as account settings  discounts  inventory  product  sales  shipping and more  Megaventory allows users to send sales quotes and purchase orders  issue invoices  get sales orders and more 
Orkiv Epic Commerce Inventory JavaScript,The Orkiv Epic Commerce Inventory Java Script API is an indirect Orkiv Inventory API client  Please refer to the corresponding Commerce Java Script SDK below  Orkiv provides a way to create online experiences with personalized commerce that is powered by logic and AI 
Orkiv Inventory,The Orkiv API provides inventory e Commerce system to operate an omnichannel strategy  It includes clients in PHP  Objective C  Ruby  C   Swift  Java Script  Go  and Java languages 
Sears Local Inventory,Sears s Local Inventory API gives users access to an inventory database for Sears and Kmart stores  Searches return the number of stores near a specified zip code where the product is available  Information on store hours  store phone numbers  distance to a specified store  product parts  and amount of inventory is also included  This API is RESTful  XLM  and JSON formatted 
SellerCloud RPC API,The Seller Cloud API supports the development of web based ordering and inventory management apps  Developers can also use the API to integrate the Seller Cloud platform to their third party applications such as ordering  shipping  purchasing  catalog  and inventory applications  This API is readily compatible with third party application because it operates on a SOAP based web service 
Venzee REST API v1,The Venzee API provides developers with a variety of possible sets for interfacing the Venzee platform with warehouse and inventory management systems and other types of third party software  Venzee offers tutorials and guidance to help with using the API and start interfacing with Venzee  Currently  you are required to contact customer support at beta venzee com to apply for access 
Zoho Inventory,The Zoho Inventory API is a REST API which allows developers to perform all the operations that are available with the web client  It ensures predictable URLs that make writing applications easy and follows HTTP rules  so a wide range of HTTP clients can be used to interact with the API  Zoho Inventory works to assist growing businesses with inventory control and other order management features 
BILLIVING Invoicing,The BILLIVING Invoicing REST API allows developers to access and integrate the functionality of BILLIVING with other applications  Some example API methods include managing accounts  sending invoices  and managing payments  BILLIVING is an online paperless billing and invoicing service 
Bring Invoice,Bring is a provider of transportation and shipping services in the Nordic region and internationally  The Bring Invoice API makes it easier for users to download invoices in PDF format  It provides endpoints for downloading invoice PDFs and listing invoice numbers 
Crowdz REST API v1,The Crowdz API retrieves business payments data  aiming to eliminate invoice use  Developers can authenticate with an API Key to make calls that will display JSON formats in return  Crowdz is a business payment and invoicing platform  This service is built on an Ethereum blockchain based platform 
Elorus Developers REST API v1.0,The Elorus Developers API allows developers to programmatically access the Elorus invoicing and billing platform as well as update organization data  This API can be used to connect with a small business  e shop or website in order to automate invoice processing and synchronize data  Elorus can handle multiple user accounts and multiple currencies 
Envoice REST API v1,The Envoice API allows developers to automate the invoicing process  It can be used to perform basic CRUD operations on invoices  as well as change or check an invoice s status  Envoice allows users to accept payments from Paypal  Stripe  Payoneer  Square  and Klik   Pay and can also handle debit and credit cards 
FACTURAgem,FACTURAgem is an online invoicing software  provided by ASP Gems  The FACTURAgem API lets developers integrate its services into their applications  enabling their customers to access their invoices on the go  directly from the applications  With this API  clients and customers can have access to  and to make changes to their invoices 
Facturama,The Facturama API provides invoicing tools for the Mexican market  The API supports endpoints for accounting  invoicing  and payroll  The Facturama platform facilitates employee management  reporting  and invoice cloud storage  The API returns XML and PDF formatted data 
Fakturoid,Fakturoid is an online invoicing service designed for entrepreneurs and small businesses  It simplifies the invoicing process and provides users with options for invoice appearances  Fakturoid can also provide statistics and totals for relevant periods of time and handle reverse charge procedures  It is compatible with any approach to VAT  The website and API documentation are provided only in Czech 
Invoice Generator,The Invoice Generator API offers a PDF file conversion system that can be integrated with existing applications  Webhooks from payment gateways can be used during PDF generation  This API returns data in JSON format  Invoice data is not stored online  and the API is rate limited  Invoiced is a cloud based company which develops accounts receivable tools for organizations of all sizes 
Invoiced,The Invoiced API offers a billing and invoicing service which can be integrated with existing applications  It features subscription billing  billing portal  customizable templates  and account statements  This RESTful API responds in the JSON format  The authorization model uses HTTP Basic Auth  Invoiced is a cloud based company which develops accounts receivable tools for organizations of all sizes 
InvoiceNinja REST API v1,The Invoice Ninja API integrates invoicing and emailing into web services  providing client ID  page  and serializer as optional methods  JSON format is available for callbacks with PHP SDK as an API facilitator 
InvoiceOcean,Invoice Ocean is an online invoicing service designed to have a simple and intuitive interface  It can send invoices in many languages and in all world currencies  The user s data is securely stored in the cloud and can be accessed anywhere  The Invoice Ocean API allows users to easily integrate the service s functions and stored data into their own applications 
MarketInvoice,The Market Invoice REST API allows developers to access and integrate the functionality of Market Invoice with other applications  Public documentation is not available  API access comes with account service  Market Invoice is an online invoicing provider 
Paid,Paid API is an automated invoicing system  Paid is RESTful and uses HTTP Basic Auth with API Keys for authentication  All requests must be authenticated and over HTTPS  HTTP is not allowed  Use Paid to automatically collect payments and send follow ups  create and track invoices  and access account analytics 
Space Invoices REST API v1.0,Space Invoices is a developer oriented invoicing API  The API supports managing accounts  invoices  organizations  currency information  and payments  The Space Invoices API supports JSON responses  Space Invoices features a cloud based high volume invoicing infrastructure  multi organization management  white label support  and a complete visual interface 
Japanese Hiragana Conversion,The Japanese Hiragana Conversion API allows developers to integrate its features into their application  enabling the application to convert a Japanese web page written in Kanji characters into a page written only in Hiragana characters  This API is from NTT Resonant  provider of Goo  which is an internet search engine that crawls and indexes Japanese websites 
Japanese Keyword Extraction,The Japanese Keyword Extraction API allows developers to integrate the keyword extraction features into their application  enabling it to extract  keywords  from an input document  This API is from NTT Resonant  provider of Goo  which is an internet search engine that crawls and indexes Japanese websites 
Japanese Morphological Analysis,The Japanese Morphological Analysis API allows developers to integrate the Morphological Analysis service into their application  By using this API  developers can create an application that divides Japanese language strings into the smallest unit of a word that has meaning  called morpheme  This API is from NTT Resonant  provider of Goo  which is an internet search engine that crawls and indexes Japanese websites 
Japanese Named Entity Extraction,The Japanese Named Entity Extraction API allows developers to integrate the name entity extraction feature into their application  which enable them to extract  named entities   such as a person name or location name  from Japanese strings  This API is from NTT Resonant  provider of Goo  which is an internet search engine that crawls and indexes Japanese websites 
Japanese Product Review Summarization,The Japanese Product Review Summarization API allows developers to integrate the product review features into their application  enabling it to summarize several reviews about same product by extracting and ordering important sentences from those reviews  This API is from NTT Resonant  provider of Goo  which is an internet search engine that crawls and indexes Japanese websites 
Japanese Word Similarity,The Japanese Word Similarity API allows developers to integrate its features into their application  enabling the application to calculate and to return a similarity score between two Japanese words  This API is from NTT Resonant  provider of Goo  which is an internet search engine that crawls and indexes Japanese websites 
Kanji Alive,Kanji Alive is a web based API that returns the details of the 1 235 kanji taught in Japanese elementary schools  The API supports basic and advanced searches  advanced searches on study lists  and detailed information about a specific kanji  This data is offered in JSON format 
kanjiapi.dev REST API v1,The kanjiapi provides JSON responses containing over 13 000 Kanji from an extensive dictionary  The API uses EDICT and KANJIDIC dictionary files which are property of the Electronic Dictionary Research and Development Group 
MECAPI,The service provides web access to the Me Cab language analysis tool  which breaks down Japanese texts into parts of speech and other morphological elements  It seeks to analyze a text passage based on a general purpose dictionary and reference collection to reveal structure and word use embedded in the sample  It builds on a Markov model of word sequence  but attempts to improve analytical performance by introducing randomized elements  An open source installed version is available  API methods support submission of a Japanese language text passage  assumed to be a complete sentence  with filters to select only nouns or only unique words  Methods return analysis and breakdown of the passage according to its word choice  parts of speech  implied inflection  and related characteristics 
Grepwords,Grepwords is an API first keyword suggestion service that can be usefully employed in research scenarios  The Grepword keywords services can also be used to determine the most accurate keywords to use in an online campaign  The keyword lookup API will return all data associated with the keywords found in the Grepwords database  The API received HTTP requests and can return data in JSON  XML  or CSV formatted responses  The Grepwords API is granted as part of Grepwords paid subscription services 
HubSpot Keywords,Hub Spot is an internet company that provides high quality internet marketing to small internet based businesses  Hub Spot transforms relatively static small business websites into modern marketing machines that produce the right leads and helps convert a higher percentage of businesses into qualified opportunities  This API powers Hub Spot s new Keywords application and allows developers to access information about which keywords are important to specified Hub Spot customers  Through the API  developers can also add or remove keywords from a customer s interest list  As much of the data used in Hub Spot s keyword management changes often  the API only exposes a subset of the available data at this time  The API uses RESTful calls and responses are formatted in XML and JSON 
Keyword Tool REST API v2,The Keyword Tool API integrates search volume data  It can generate keyword suggestions by accessing with Api Key and interacting with JSON architecture  Keyword Tool helps users discover thousands of new long tail keywords related to any topic by automatically generating Google s search suggestions 
Keyword.io,The Keyword io API integrates keywords features into web services  spreadsheets  and mobile applications  It is available in JSON architecture with HTTP requests and token as authentication 
KWMaster Keyword Suggest,The KWMaster Keyword Suggest REST API allows developers to access and integrate the functionality of KWMaster Keyword Suggest with other applications  The main API method retrieves keyword suggestions for any provided keyword  The API uses Google suggestions  rather than Adwords  KWMaster Keyword Suggest is a suggested keyword search engine and generator 
SimilarWeb Website Search Keywords,Similar Web offers website and application analytics  The Search Keywords API could be useful for developers who want to obtain 3 keyword search results when they access a website  This API is about keyword search and it is valuable to measure search results for users who visit webpages from multiple mobile devices  To develop an app  developers can visit the site where they can find endpoints  parameters and examples 
Yonder Keyword Extraction,The Yonder Keyword Extraction API finds meaningful keywords in a text document  The API analyzes news articles  blog posts  and emails identifying keywords related to facts  events  and relations  Yonder provides text analysis  deep learning for NLP  and image analysis 
Ai Applied Language Detection,Ai Applied provides technologies and services that help users obtain valuable insights from their texts  social media  and other web data  Ai offers a suite of APIs allowing developers to interact with this data in a variety of ways  The Ai Applied Language Detection API is a web service able to distinguish between 25 languages in real time  regardless of text length 
Baidu Language Recognition,The Baidu Language Recognition API allows developers to identify the language that a given piece of text is written in  This API can identify Chinese  English  Japanese  Korean  Thai  and Vietnamese text Baidu is a Chinese technology company specializing in internet related services and artificial intelligence  All API documentation is given in Simplified Chinese 
CereVoice Cloud RPC API,The service provides a hosted version of the provider s installed text to speech  TTS  conversion software  It generates spoken language from input text in a variety of languages using a selection of speaking voices  Requests can fine tune aspects of the audio output such as pitch and pacing to adjust for specific needs  API methods support either  simple speak  conversion of a basic text selection or  extended speak  conversion with modifications to default pitch  rate of speech  and pronunciation via SSML markup  Methods also support management of multiple lexicons and abbreviation sets to control text conversions for specific environments  Tags allow influence over emotional tone and vocal gestures 
Chinese Character Web,The service interprets data from the Unihan Database to encode text in Chinese characters  Its function emphasizes interpretations common in Mandarin Chinese  but it can draw upon information from the supporting database about Cantonese  Japanese  Korean  and Vietnamese encoding  The character range available is the  21 000 characters within the range identified as CJK Unified Ideographs  API methods support submission of a query specifying the subset of characters of interest with filters to narrow the return  Methods return Unicode values for the character s  matching the query  Methods also can return the strokes making up the character s  and pronunciations 
Dandelion Language Detection Similarity REST API v1.0,The Language Detection API is a simple language identification API that is useful when dealing with texts and currently supports 96 languages  All the requests must be sent  either by GET or POST  to the API endpoint and allows you to define how you send to the text for which you want the language to be recognized  The Dandelion API extracts meaning from unstructured text  puts it in context and provides Semantic Text Analytics as a service that includes  text  actionable data and more 
Dothraki Translator REST API v1.0,The Dothraki Translator API allows developers to translate between English and the Dothraki language from Game of Thrones  The public version of the API limits users to 5 calls per hour  The Dothraki Translator is provided by the Fun Translations website  which hosts translation services for a variety of fun and fictional languages and dialects 
Edicy Site,This content is now called Voog  please refer to that profile for more information  Edicy is a cloud based service for building and hosting multilingual websites and managing their content  It is optimized for both desktop and mobile viewing  provides built in SEO  and comes with customizable themes  The Edicy Site API allows users to access public Edicy site contents through a JSON based API  This API is read only and can be used to retrieve articles  comments  and other page elements 
Hello Salut,Hello Salut is a service that allows users to greet online visitors in their native languages  Users may choose to detect the visitor s language or IP address themselves and then call Hello Salut  or they can employ the fully automated version of the service  Hello Salut is currently in Beta  with more languages yet to be added  The project is open source and available on Git Hub 
HPE Haven OnDemand Language Identification,IDOL On Demand by HP offers an array of data processing APIs for format conversion  image analysis  indexing  search  and textual analysis  Preview capabilities exist to view how many of these RESTful APIs behave in action  The Language Identification API scans an inputted document and returns the language present  The API requires a minimum of 3 words to determine the language  however  accuracy is increased with larger amounts of content 
IBM Watson Language Translator REST API v3.0,The Language Translator API translates text from one language to another  The service offers multiple domain specific models that you can customize based on your unique terminology and language  Use the Language Translator to take news from across the globe and present it in your language  communicate with your customers in their own language  and more  It includes  Translate  Identifiable  languages  Identify language  List models and more  The IBM Watson Language Translator service allows you to create an application that identifies the language of input text and uses a domain specific linguistic model to translate the text into another language 
Internet Acronym Server,Silmaril is an international management consultant company that also has an accessible collection of acronyms thru the web  The Internet Acronym Server API allows developers to integrate this service into their applications  Users of the applications will be able to search for and access different acronyms available in the Silmaril s database 
Language Detection,Language Detection currently detects 160 languages  It works by accepting text and displaying results with code and score  Available in JSON protocol  the API provides basic detection  batch requests  and secure mode  SSL   It requires an Api Key that can be accessed through Ruby  Java  Python   NET  and PHP 
Language Tool,Language Tool is an independent project that proofreads English  French  German  Polish  and 20 more languages  It was created intentionally to be open source and it works directly from the web  The Language Tool API offers access via HTTP HTTPS and Java application  With HTTP format in mind  the API is limited to 20 requests per IP per minute  maximum text size is 50 KB  and only HTTPS is supported  Language Tool is a work in progress and invites developers to add contributions 
languagelayer,Languagelayer serves as a platform for detecting the structural  textual  and semantic characteristics of different languages  It is a fully documented  AI based version that operates as a simple REST API capable of analyzing more than 170 languages  The free API conveys responses in JSON format and requires access key to authenticate and post requests 
Linguatools Collocation,The Linguatools Collocations API looks up words in a dictionary and returns all collocations  with up to 3 example sentences for each collocation and the syntactic relation of each collocation  Linguatools supports Language data services for dictionaries  example sentences  conjugation data and more 
Linguatools Conjugation,The Linguatools Conjugation API looks up words in a dictionary and returns all conjugated forms with the associated English tenses  The forms cover combinations of present  past  and future with progressive and perfect tense  for each of indicative  conditional  and passive voice  Linguatools supports Language data services for dictionaries  example sentences  conjugation data and more 
Linguatools Sentence Generating,Linguatools Sentence Generating API provides Natural Language Generation for English  The API implements a realiser for English sentences  You only need to provide words for subject  verb  and object  A grammatical English sentence is generated from this input  You can control features like tense  modality  sentence type  e g  question   active passive etc 
Linguatools Top Spanish Collocation,The Linguatools Top Spanish Collocations API looks up words in a Spanish collocation database and returns the best Spanish collocations plus example sentences for each collocation  Linguatools supports Language data services for dictionaries  example sentences  conjugation data and more 
Linguatools Translate,The Linguatools Translate API allows you to filter by word class and minimum frequency and also allows you to look up words in a dictionary and then returns translations ordered by frequency  It translates from and to German for the following languages  English  Spanish  Dutch  Polish  Italian  and Czech  Linguatools supports language data services for applications and websites 
Microsoft Azure Cognitive Services Language Understanding (LUIS) REST API v2.0,The Microsoft Azure Cognitive Services Language Understanding  LUIS  API offers conversational intelligence to existing third party applications  Developers can integrate understanding of user intent  for example  a travel agent application can add voice recognition and understanding to aid in the booking process  Paid and free plans are available  The LUIS API is REST based  uses JSON for data exchange  and API Keys for authentication 
Microsoft Cognitive Services WebLM,The Microsoft Cognitive Services Web LM  Web Language Model  API offers cloud based natural language processing functionality which allows developers to make use of the big data collected by Bing in the EN US market  Applications of this tool include calculating how often a particular sequence of words appear together  and get the list of words most likely to follow in a sequence of words  Currently  a paid plan is available  and a free option that limits transactions to 100 000 a month  The REST Web LM API uses JSON for data exchange  and API Keys for authentication 
Morpher,Performs declension and pluralization for Russian and Ukrainian names and common words and phrases  including geographical names  Useful for text generation and software website localization for Russian and Ukrainian 
nanoSDK Language Detect REST API v1.0,The nano SDK Language Detect API can help you find out which language is used within a text nano SDK s microservices are user friendly and can be used through explorers on nanosdk com to speed up your application development You need to be authenticated and authorized to consume the services  You need at least one API Key and set the Nano SDK Key header with this key  When the request is received  the key is validated  and allows the request form the moment you have enough credits Pricing  one time refill   credits  20 000  price   4 00  Simple pricing   2 per 10 000 credits You refill your balance with credits and spend them through our APIs  Your credits do not expire Supported currencies  USD  EUR  All prices are exclusive of any applicable taxes 
Poio,The Poio API predicts languages via text  Available in JSON format and accessible with Key  the text prediction service aims to support language diversity  The API is part of an open source project created at CIDLes Media Lab  The Interdisciplinary Centre for Social and Language in Portugal 
Readable,The Readable API returns JSON data that identifies the readability on a website  targeting copywriters  marketers  and online store entrepreneurs  Developers can authenticate with an API Key to make calls that analyze text and URLs  Readable provides tools to help users write better  and improve their readability scores 
Rosette,The Rosette API allows developers to integrate linguistic analysis  statistical modeling  and machine learning into their own Big Text processing applications  The API includes methods for language identification  relationship extraction  categorization  sentiment analysis  name translation  name matching  base linguistics  entity extraction  and entity linking against Wikidata for English  Spanish  and Chinese  Rosette is a suite of linguistic analysis components that integrate into applications to quickly add multilingual capability for mining unstructured data  It is provided by Basis Technology 
Speaking URL,Speakingurl com is a free web service capable of converting arbitrary  multilingual text into a human and SEO friendly URL  This RESTful service accepts simple JSON formatted GET calls and returns a JSON formatted URL  The API currently supports English  French  German  Spanish  Russian  and Chinese 
Syriaca.org Geographic,This API Provides geo JSON results for all places within the gazetteer with geographic data that can be filtered by place type  It returns results for buildings  churches  monasteries and more  The Syriac Reference Portal is a digital project for the study of Syriac literature  culture  and history  It is a reference hub for digitally linking research findings  to compile and classify core data for the study of Syriac sources and offer the Syriac specialists  scholars in all fields  cultural heritage communities  and the interested public with digital tools 
Syriaca.org OAI-PMH Provider,This API uses the OAI PMH protocol to access a description of service that will list records and sets across all Syriaca org collections  The Syriac Reference Portal is a digital project for the study of Syriac literature  culture  and history  It is a reference hub for digitally linking research findings  to compile and classify core data for the study of Syriac sources and offer the Syriac specialists  scholars in all fields  cultural heritage communities  and the interested public with digital tools 
Syriaca.org Search,This API performs a simple keyword search across all Syriaca org collections  It returns results for title  author  events and more  The Syriac Reference Portal is a digital project for the study of Syriac literature  culture  and history  It is a reference hub for digitally linking research findings  to compile and classify core data for the study of Syriac sources and offer the Syriac specialists  scholars in all fields  cultural heritage communities  and the interested public with digital tools 
UrbanScraper,The Urban Scraper API provides Urban Dictionary definitions by passing the desired term in a GET call  The API relies on screen scraping with caching done on Heroku  JSON is preferred for responses  and JSONP is optional to circumvent Cross origin resource sharing issues 
WaniKani,Wani Kani is a kanji  Japanese writing  learning application  Wani Kani API allows developers to use a public API key to get a users  progress on the website wanikani com as well as limited user information  such as username and profile description 
Caselaw Access Project REST API v1.0,The Caselaw Access Project API  serves all official US court cases published in books from 1658 to 2018  This includes over six million cases scanned from the Harvard Law Library shelves  The API is primarily intended for software developers to access Caselaw programmatically  to run your own analysis or build tools for other users  however CAPAPI also includes an in browser API viewer  API results are in JSON format with case text available as structured XML  presentation HTML  or plain text  Caselaw Access Project is operated by the President and Fellows of Harvard College to educate and disseminate knowledge and information 
